,Date_Time_Zone_ID,State,Time_Zone
,1,Alabama,Central Time Zone
,2,Alaska,Hawaii-Aleutian Time Zone
,3,Alaska,Alaska Time Zone
,4,Arizona,Mountain Time Zone
,5,Arkansas,Central Time Zone
,6,California,Pacific Time Zone
,7,Colorado,Mountain Time Zone
,8,Connecticut,Eastern Time Zone
,9,Delaware,Eastern Time Zone
,10,Florida,Central Time Zone
,11,Florida,Eastern Time Zone
,12,Georgia,Eastern Time Zone
,13,Hawaii,Hawaii-Aleutian Time Zone
,14,Idaho,Pacific Time Zone
,15,Idaho,Mountain Time Zone
,16,Illinois,Central Time Zone
,17,Indiana,Central Time Zone
,18,Indiana,Eastern Time Zone
,19,Iowa,Central Time Zone
,20,Kansas,Mountain Time Zone
,21,Kansas,Central Time Zone
,22,Kentucky,Central Time Zone
,23,Kentucky,Eastern Time Zone
,24,Louisiana,Central Time Zone
,25,Maine,Eastern Time Zone
,26,Maryland,Eastern Time Zone
,27,Massachusetts,Eastern Time Zone
,28,Michigan,Central Time Zone
,29,Michigan,Eastern Time Zone
,30,Minnesota,Central Time Zone
,31,Mississippi,Central Time Zone
,32,Missouri,Central Time Zone
,33,Montana,Mountain Time Zone
,34,Nebraska,Mountain Time Zone
,35,Nebraska,Central Time Zone
,36,Nevada,Mountain Time Zone
,37,Nevada,Pacific Time Zone
,38,New Hampshire,Eastern Time Zone
,39,New Jersey,Eastern Time Zone
,40,New Mexico,Mountain Time Zone
,41,New York,Eastern Time Zone
,42,North Carolina,Eastern Time Zone
,43,North Dakota,Mountain Time Zone
,44,North Dakota,Central Time Zone
,45,Ohio,Eastern Time Zone
,46,Oklahoma,Central Time Zone
,47,Oregon,Mountain Time Zone
,48,Oregon,Pacific Time Zone
,49,Pennsylvania,Eastern Time Zone
,50,Rhode Island,Eastern Time Zone
,51,South Carolina,Eastern Time Zone
,52,South Dakota,Mountain Time Zone
,53,South Dakota,Central Time Zone
,54,Tennessee,Central Time Zone
,55,Tennessee,Eastern Time Zone
,56,Texas,Mountain Time Zone
,57,Texas,Central Time Zone
,58,Utah,Mountain Time Zone
,59,Vermont,Eastern Time Zone
,60,Virginia,Eastern Time Zone
,61,Washington,Pacific Time Zone
,62,West Virginia,Eastern Time Zone
,63,Wisconsin,Central Time Zone
,64,Wyoming,Mountain Time Zone
